,state_ansi,reference_period_desc,prodn_practice_desc,congr_district_code,load_time,domaincat_desc,year,country_name,end_code,short_desc,watershed_desc,county_name,agg_level_desc,state_fips_code,zip_5,source_desc,state_name,commodity_desc,week_ending,region_desc,freq_desc,country_code,begin_code,unit_desc,asd_desc,Value,group_desc,asd_code,sector_desc,county_code,state_alpha,county_ansi,watershed_code,domain_desc,statisticcat_desc,location_desc,util_practice_desc,CV (%),class_desc
0,,JAN,ALL PRODUCTION PRACTICES,,2025-04-04 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,01,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,01,LB,,"218,242,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
1,,FEB,ALL PRODUCTION PRACTICES,,2025-05-06 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,02,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,02,LB,,"202,719,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
2,,MAR,ALL PRODUCTION PRACTICES,,2025-06-05 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,03,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,03,LB,,"229,024,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
3,,APR,ALL PRODUCTION PRACTICES,,2025-07-03 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,04,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,04,LB,,"214,433,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
4,,MAY,ALL PRODUCTION PRACTICES,,2025-08-05 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,05,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,05,LB,,"211,949,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
5,,JUN,ALL PRODUCTION PRACTICES,,2025-09-05 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,06,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,06,LB,,"188,330,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
6,,JUL,ALL PRODUCTION PRACTICES,,2025-09-05 15:00:00.000,NOT SPECIFIED,2025,UNITED STATES,07,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,07,LB,,"180,131,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
7,,JAN,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2024,UNITED STATES,01,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,01,LB,,"217,081,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
8,,FEB,ALL PRODUCTION PRACTICES,,2025-04-25 15:00:00.000,NOT SPECIFIED,2024,UNITED STATES,02,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,02,LB,,"197,802,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
9,,MAR,ALL PRODUCTION PRACTICES,,2025-05-06 15:00:00.000,NOT SPECIFIED,2024,UNITED STATES,03,"BUTTER - PRODUCTION, MEASURED IN LB",,,NATIONAL,99,,SURVEY,US TOTAL,BUTTER,,,MONTHLY,9000,03,LB,,"210,764,000",DAIRY,,ANIMALS & PRODUCTS,,US,,00000000,TOTAL,PRODUCTION,US TOTAL,ALL UTILIZATION PRACTICES,,ALL CLASSES
